,review_comment_message,review_creation_year,review_score,review_type
60215,"Tentei varias vezes responder o e-mail de recebimento mais não consegui.
Esta é terceira compra que faço no baratheon e sempre fui muito bem atendido
continuem sempre assim.",2017,5,positive
60218,Pruduto de ótima qualidade . Foi entregue dentro prazo,2018,5,positive
60219,"Ótima loja.
Entregou no prazo. 
Eu recomendo. ",2018,5,positive
60220,Muito bom o produto e a entrega muito antes do prazo ,2017,5,positive
60222,"Funcionou muito bem em minha TV, entrega antes do prazo!",2018,5,positive
60223,"Não consigo falar com a loja. Produto veio errado
 ",2018,1,negative
60225,Perfeito . Comprei não para bolo e sim para fazer sabao de roupas . Bem resistente o produto . Recomendo,2018,5,positive
60227,Produto entregue corretamente no prazo,2017,5,positive
60228,Vou continuar comprando.,2017,5,positive
60230,Fui muito bem atendida.,2018,5,positive
60235,A entrega foi muito rápida e o produto atendeu as expectativas.,2017,4,positive
60237,"Boa tarde,

Fiz uma compra de 5 unidades de pendentes meia de iluminação para a minha loja é só recebi dois, estou desesperado pois estou há dias da inauguração da loja, minha encomenda está incompl",2018,1,negative
60238,"Produto entregue antes do prazo, muito linda a cortina, minha filha adorou. ",2017,4,positive
60240,entregue antes do prazo muito rapido ,2018,5,positive
60246,O produto so veio fora da embalagem,2018,5,positive
60248,"Muito bom, recebi antes do esperado",2017,5,positive
60252,"Fiz a comprar de does relógio de pulso e não recebi a mercadoria 
 Relógio Feminino De Pulso Ieke Malha Colorida - Branco",2017,1,negative
60255,Só me enviou um produto de dois comprados no mesmo pedido ...,2018,2,negative
60257,Não recebi o produto até a presente data na minha residência. ,2017,1,negative
60259,Excelente ,2018,5,positive
60260,Manter essa fiel filosofia de cumprir datas e se preocupar com o pós venda,2018,5,positive
60261,Ótimo produto.,2018,5,positive
60265,"Ainda não usei o produto, parabenizo a empresa pela entrega dentro do prazo.",2018,5,positive
60267,"A entrega foi efetuada antes do prazo, excelente.",2018,4,positive
60268,"As tesouras vieram soltas na bolsinha, então ficaram arranhadas,mas as tesouras são muito boas, só mesmo acho que colocar algo pra elas não caírem e uma esponja entre elas , pra não ter arranhões.
",2017,4,positive
60270,Supriu minhas expectativas. É flexível e se ajusta bem ao meu celular. ,2018,5,positive
60273,"MUITO OBRIGADA, CHEGOU TUDO OK E VEIO ANTES DO PRAZO, ADOREI!!",2018,5,positive
60275,Ótimo produto recomendo ,2017,5,positive
60282,"Grande satisfação pela compra.
Produto de excelente qualidade superando minhas expectativas, prazo de entrega antecipado.
Meu sincero obrigada a equipe.",2018,5,positive
60285,Muito bom,2017,5,positive
60286,"Produto bom, conforme o preço,........................",2018,3,neutral
60287,Dentro da normalidade!,2018,5,positive
60290,"Muito boa a loja, o produto chegou antes da data de entrega.",2017,5,positive
60291,Entrega antes do prazo produto muito bom compraria novamente sem dúvida ,2017,5,positive
60295,É muito bom,2018,4,positive
60296,A mochila não é de um material e acabamento de primeira. Mas é um bom custo benefício.,2018,5,positive
60298,B,2018,1,negative
60300,Gostei de comprar nesta loja.,2017,5,positive
60301,"Entrega rápida
Tdo conforme o anúncio",2018,5,positive
60302,Tudo em perfeito estado.,2017,5,positive
60305,"Entregue no prazo, tudo certo",2017,5,positive
60310,"Bom,porém achei mto pequeno",2018,4,positive
60313,adorei o produto! otima qualidade !,2016,5,positive
60315,Comprei um produto e recebi outro totalmente diferente. Estou tentando a ressarcimento há dois dias e sem sucesso.,2017,1,negative
60316,"Entrega super rápida, ótimo produto",2018,5,positive
60318,"Consegui fazer a compra, mas quando era pra entregarem, falou que não tinha estoque, tive que pegar estorno. O produto parecia bom, mas se a loja não tinha estoque então não devia permitir comprar.",2017,2,negative
60322,A informação que consta nos Correios é que a encomenda foi entregue porém não recebi no meu apto. E nem na adm. Do condomínio foi entregue nenhuma encomenda em meu nome.,2018,3,neutral
60325,Ótimo ,2017,5,positive
60328,não recebi o produto,2017,1,negative
60330,"O produto chegou no prazo, em perfeitas condições de uso e é de excelente qualidade.",2017,5,positive
60332,Satisfeita com produto e com a entrega. Recomendo,2017,5,positive
60337,Joico já fala por si só. Produto excelente .,2018,5,positive
60339,Ótimo ,2018,5,positive
60344,"Eram 2 itens no mesmo pedido, eles separam, não tocaram a campainha e alegando não ter ninguém deixaram na agência dos correios, me dando trabalho em ter que ir buscar.

",2017,1,negative
60357,"Produto bom e entregue dentro do prazo, comprei para minha mãe de presente",2018,5,positive
60358,Linda cortina gostei muito. ,2018,5,positive
60359,Pedido entregue antes do prazo. Tudo certo!,2018,5,positive
60363,Pedi um produto e me entregaram outro completamente diferente ,2017,1,negative
60365,produto entregue antes do prazo previsto deixando muito satisfeito.,2017,5,positive
60366,.,2018,4,positive
60367,"Espelho veio todo arranhado, parece que foi econtrado no lixo.",2018,1,negative
60371,"Não gostei da da loja, porque tentei cancelar esse pedido e trocar por outro lustre,e a loja não aceitava.",2018,2,negative
60372,"O produto solicitado foi entregue com algum atraso mas em perfeito estado,Muito Obrigado.",2018,4,positive
60373,"qualidade do tapete muito ruim, suja só de encostar e tamanho menor do que o especificado.",2018,1,negative
60376,"Comprei 02 unidades, porém recebi apenas uma.",2018,1,negative
60377,A minha compra ainda não chegou. E nada de a loja entrar em contato para explicar o motivo...,2017,1,negative
60378,Ate o presente momento so recebi um dos dois produtos q comprei,2017,4,positive
60379,Rápida entrega e produto de muita qualidade. Adorei.,2017,5,positive
60381,Exatamente como comprei !!!,2018,5,positive
60382,"infelizmente não tem como avaliar,porque não recebi ainda o meu pedido.Enviaram pelo correio e não foi entregue! Está parado nos correios,era para ser entregue até o dia 07/03/2018,mas não entregaram ",2018,1,negative
60383,muito bom ,2018,5,positive
60384,Recomendo a loja . ,2017,5,positive
60387,Recebido antes do prazo indicado. Em perfeitas condições.,2018,5,positive
60390,"RECEBI UM PRODUTO F-A-L-S-I-F-I-C-A-D-O. Ñ SABE NEM DISFARÇAR. TOTALMENTE DIFERENTE DO ORIGINAL. DEMORA PARA RESOLVER MEU PROBLEMA, NÃO CONSIGO TROCAR NEM PEDIR REEMBOLSO. NAO COMPREM COM targaryen NUNCA!",2018,1,negative
60392,Chegou muito rapido..lindos,2017,5,positive
60394,"Meu produto chegou todo quebrado, quero trocar, por outro igual do mesmo",2018,1,negative
60397,Excelente produto. Chegou conforme combinado.,2018,5,positive
60399,Chegou bem antes do dia. Amei,2017,5,positive
60400,Comprei três unidades do extensor VGA e só me foi entregue uma. Não recebo resposta dos meus questionamentos e não recebi a nota fiscal,2018,1,negative
60402,Quase um mês no aguardo do produto! ,2018,1,negative
60409,"A saída do cabo, mini USB não é a que eu esperava. Preciso de um cabo com saída pra Samsung.",2018,1,negative
60410,"De acordo com as especificações e entrega antes do prazo. parabéns Americana.





 
",2018,5,positive
60411,show.,2017,4,positive
60413,Estou super satisfeita com minhas compras por esse site. Super indico ,2017,4,positive
60416,Impossível avaliar um serviço que não foi completado ,2018,1,negative
60418,BOM EQUIPAMENTO.,2018,4,positive
60421,"O processo ocorreu direito, mas durante todo o período da compra aparecia uma valor de frete promocional de 18,00 reais e quando eu fechei a compra o valor subiu para 56,00. ",2017,2,negative
60422,"Esta loja targaryen não cumpre o prazo,este pedido eu recebi, porém o anterior a este ainda não chegou",2017,2,negative
60423,Um vergonha...sempre fui cliente mas de hoje em diante não compro MAIS,2017,1,negative
60425,"ótima loja, só está em atraso comigo na entrega do sofá de canto. Que espero receber em breve.",2018,5,positive
60427,Recomendo o produto ! Recebi dentro do prazo de entrega!,2017,4,positive
60428,"a impressora identificou os 2 cartuchos como não originais, as impressões estão com desempenho inferior",2018,1,negative
60432,"A entrega muito rápida, bem antes da data prevista. ",2018,5,positive
60433,Correu tudo dentro do combinado..,2017,5,positive
60442,"Recebi a mercadoria errada.
Comprei o chuveiro turbo mas entregaram outra marca além de tudo um valor enferior que paguei.
A targaryen disse que não tinha o produto certo e mandou a orientação para devo",2018,1,negative
60443,"Não recomendo esse site.
Fiz minha compra dia 05/05, me deram o prazo até o dia 17/05, quando finalizei a compra, cartão autorizado me deram o prazo de até o dia 26/05, e até agora NADA. Insatisfeita",2017,1,negative
60444,"Pela foto, imaginava outra qualidade, mas é bom. ",2017,4,positive
60445,Entrega no prazo certinho!,2017,5,positive
60452,"As dimensões da capa não serviu para Del Rey , material fino, o elastico já se partiu ao coloca e a capa pelo tamanha não ser o compatível para o veículo isso porque colocamos a capa em 2 pessoas .",2018,1,negative
60454,"Gostei do relógio, porém a foto que esta ai não é nada igual ao que vem.
Não recomendo.",2018,2,negative
60456,"O pedido foi entregue parcialmente. Veio a Castanha da índia, mas faltou a Moringa.",2018,3,neutral
60458,Precisa mais detalhes sabre os produtos. ,2018,4,positive
60460,Ótimo ,2018,5,positive
60464,Chegou na hora que eu mais precisava.,2018,5,positive
60465,Já fiz várias compras nas lannister. Tenho total confiança em comprar pela internet nas lannister. Recebi os produtos sempre em perfeitas condições e as entregas foram logo no início dos prazos.,2017,5,positive
60467,Não recebi o produto ainda,2018,1,negative
60468,tudo ocorreu conforme o prometido,2018,5,positive
60477,"Não recebi, não posso avaliar.",2018,2,negative
60480,Produto entregue bem rápido.,2017,5,positive
60482,"Veio faltando um parafuso correto
",2017,4,positive
60485,"A carretilha veio com a manivela torta , mas já. Arrumei .
Recimendo a vcs coloca na caixa fragil para não acontece o que aconteceu com migo.
Eu tenho a foto.",2017,2,negative
60488,entrega rapida e direito,2018,5,positive
60490,"Recebi bem antes do prazo...produto em perfeito estado,cumpriu com o prometido!",2017,5,positive
60491,"Compra realizada sem problemas, e a cortina foi entregue bem antes do prazo indicado! Recomendo!",2017,5,positive
60492,"Produto simplicidade,e funcional...",2018,3,neutral
60493,"Ainda não testei porque estava viajando, porém esta perfeito de aparência e de embalagem. Foi entregue muito antes do prazo. Vou comprar outros oportunamente.",2017,5,positive
60496,"gostei muito, exatamente como esperava",2017,5,positive
60497,recomendo,2018,5,positive
60499,"Comprei um kit de tesouras mas só chego uma.estou aguardando a resposta de vcs para sabe qd foi recebê o produto completo, pois peguei por 2 e não só por 1",2018,1,negative
60500,"Muito bom!!!
Fiquei espantado com a rapidez",2018,5,positive
60504,Produto entregue no prazo. Estou muito satisfeito,2018,5,positive
60505,Produto entregue antes do prazo excelente ,2018,5,positive
60507,"Não recomento, comprei um produto e me entregaram outro, ainda queriam me convencer que eu e quem estava errada, tudo é uma confusão e burocracia péssimo péssimo, a minha sorte e que tinha as fotos.",2017,1,negative
60508,Produto chegou dento do prazo estipulado e e dentro das condições desejadas,2017,5,positive
60509,"A loja enviou o produto via correios, que não funciona! E não recebi o produto em minha casa. O mesmo ficou no posto e no único dia que puder ir até lá e devolveram ao remetente e fiquei sem o produt",2017,1,negative
60510,"Entrega e qualidade excelente, porém quanto ao anúncio, para mim foi surpresa receber uma coqueteleira, pois esperava dois potes de creatina como o este me levou a crer.",2017,4,positive
60511,Produto de excelente qualidade. Vale a pena o custo x benefício. Entrega antes do prazo estipulado. Recomendo ,2018,5,positive
60516,"Mercadoria recebida antes do prazo, gostei Muito, agradeço o vendedor, tudo certinho, recomendo.",2017,5,positive
60517,O VALOR DO PRODUTO É ÓTIMO E A QUALIDADE 100%,2018,5,positive
60523,"Qualidade atual do produto está inferior, a espessura do aluminio foi reduzida, com isso não realizar a vedação por completa da forma, ocasionando o vasamento do vapor.",2018,3,neutral
60526,foi muito bem atendida produto entregue no prazo e correto,2018,4,positive
60529,Recomendo! Sem sombra de ,2017,5,positive
60533,Entrega rápido. Muito bom,2017,5,positive
60535,Amei a experiência.,2017,5,positive
60537,"Não sei o que ouve o produto não chegou, foi extraviado nunca tinha comprado, mais por conta disso não comparei mais.",2017,1,negative
60539,Recomendo inclusive minhas colegas já pediram estão aguardando a entrega fiquei muito contente vou fazer mais pedidos novos nos próximos meses passei para minhas filhas aliás a família toda .,2017,5,positive
60540,faltando peça!,2017,1,negative
60544,"entrega super rapida e otima qualidade de produto
muito obrigado",2017,5,positive
60545,Mto bom!,2018,5,positive
60546,"Só recebi emails falando q estaria vindo, q estava no correio, mas nd.",2017,1,negative
60551,"Entregaram antes do prazo recomendo pela agilidade, mas produto não, celular Samsung A5 2016 não aceitou o fone, voz abafada e baixa.",2018,3,neutral
60552,O produto foi o que eu esperava.,2018,5,positive
60554,recomendo a loj baratheon ,2018,5,positive
60557,ainda não recebi o produto,2018,1,negative
60559,Muito bom o produto chegou no prazo e serviu direitinho.,2018,5,positive
60561,muito ruim muito finas fala uma coisa e vem outra.,2018,1,negative
60564,Comprei outros produtos ao mesmo tempo e até depois dos tapetes e já recebi e os tapetes ainda não. Demorando demais.,2018,1,negative
60569,"Entrega no prazo, frente justo e produto com bom preço. ",2018,3,neutral
60573,"Bom dia,

Recebi meu pedido no prazo porém o pushing ball veio ressecado e descascando. Como devo proceder para receber um em boas condições? 

No aguardo,

Vanessa",2018,3,neutral
60574,"muito bom
",2018,5,positive
60575,"Ótimo produto, entregue antes do prazo.",2017,5,positive
60576,Otimo,2018,5,positive
60578,Excelente servico. Recomendo ,2018,5,positive
60579,Ótimo custo benefício,2018,5,positive
60581,Comprei dois lustres e so recebi um,2017,1,negative
60582,"A qualidade do produto muito aquém do anunciado. Embora citado como percal de 180 fios, na realidade é apenas tecido comum 80% algodão e 20% polyester. ",2018,3,neutral
60584,Bom,2018,5,positive
60588,"Apesar de dentro do prazo, achei a entrega bastante demorada.",2018,1,negative
60593,Produto atendeu minhas expectativas e se encaixou exatamente como eu precisava. Chegou no prazo. ,2018,4,positive
60595,Recomendo,2018,3,neutral
60598,"Chegou antes do prazo, só faltou embalar.",2018,4,positive
60599,tudo bem,2017,4,positive
60602,"A propaganda é uma caixa com três pipetas, mas me enviaram apenas uma pipeta. ",2018,1,negative
60603,"Produto ótima qualidade, tudo certinho , não veio faltando nada e chegou antes do prazo de entrega ! Super Recomendo! não vejo a hora da minha princesa nascer para usar ele!",2018,5,positive
60604,"Produto correto e dentro do prazo!
Excelente",2018,5,positive
60608,Ótimo ,2018,5,positive
60609,Recebi o produto 2 dias depois ds compra. foi super rápido. recomendo!,2017,5,positive
60611,Chegou super rápido e bem embalado. Recomendo!,2018,4,positive
60612,Perfeita,2017,5,positive
60615,otimo,2018,5,positive
60616,muito bom!,2017,5,positive
60617,Me arrependi amargamente . Uma bosta,2018,1,negative
60619,"Pagar frete comprando tudo através de um único site é simplesmente horrível. Eu sei que está é outra loja, porém não pretendo voltar a comprar na lannister.com",2018,2,negative
60620,Excelente rapidez na entrega !,2017,5,positive
60624,comprei por engano pois achei que era á cama motessoriana no anúncio dava para entender que era uma cama sendo assim peço que seja atendido á minha solicitação da devolução pois esse produto não será,2018,2,negative
60625,Muito eficiente na entrega produto excelente,2018,5,positive
60629,Empresa maravilhosa!!!! Entrega efetuada muito antes do prazo!! Muito obg!!! Muito feliz por mais um sonho realizado! !!,2017,5,positive
60630,"O produto não é o que eu esperava, o som é baixo, para conexão é bem ruim, detestei esperava uma coisa e veio uma coisa muito, muito diferente do que eu esperava infelizmente não recomendo.",2018,1,negative
60632,"achei que fosse um pouco mais grosso, pois mais parece um lençol do que um cobre leito",2018,3,neutral
60635,estou começando agora a fazer uso deste produto portanto em breve poderei a valiar melhor este produto OK.,2017,4,positive
60636,"O varão e revestido por um tipo de plástico que já veio descamando e o material é inferior aos q tem em lojas normais, é não vale a pena o custo. ",2017,1,negative
60639,Produto demorou muito pra chegar.,2018,3,neutral
60642,"Comprei o produto dia 12 de dezembro, prazo previsto para chegar dia 05/01 e até o momento nada de entrega e nenhuma satisfação. ",2018,1,negative
60643,bom,2018,4,positive
60644,Comprei 2 luminárias e só recebi 1,2018,3,neutral
60647,"Excelente empresa produto entregue corretamente e antes do prazo estabelecido. 
Parabéns pela pontualidade. ",2017,5,positive
60648,"O produto chegou antes do prazo previsto, excelente.",2017,5,positive
60651,Bom produto ,2016,5,positive
60652,"Os prazos foram respeitados, o que vem de encontro ao lema das Lojas lannister.",2018,5,positive
60653,Adorei... muito bom recomendo esse produto,2018,5,positive
60656,Quero meu cartão de vcs😂😂😂,2018,5,positive
60663,A qualidade não era o que esperava.,2017,3,neutral
60664,produto muito bom!,2018,5,positive
60671,PDOUTO CORRESPONDE À DESCRIÇÃO,2017,3,neutral
60672,O produto não veio muito bem embalado e uma das chapas veio amassada e o espelho trincado. Mas atende a finalidade.,2018,2,negative
60673,Bom produto,2017,5,positive
60675,"Na descrição nao fala que a cortina e transparente, ela ficou linda no quarto mas è muito fina pelo preço.Deveria ser mais barata.",2018,5,positive
60680,"meu pedido não foi entregue até a presente .
solicitei 02 jogos de lençois , ok
dois jogos de toalha SÓ VEIO UM JOGO.
comprei no cartão ja esta incluso na minha fatura.Aguardo posição de outro jogo",2017,5,positive
60684,Chegou bem antes do prazo!!,2018,5,positive
60686,Tudo ok!,2018,5,positive
60687,Ótimo produto,2018,5,positive
60689,"recebi o produto e recomendo a compra deste, pois fiquei satisfeito",2018,5,positive
60691,"Muito bom, produto ok de facil instalação.",2017,5,positive
60692,"No anuncio dizia que a lentw dos faróis eram de vidro, mas beio de acrílico.",2018,1,negative
60694,O produto é de qualidade e veio antes do prazo estipulado.,2018,5,positive
60698,"o produto foi entregue antes do prazo , produto de ótima qualidade",2017,5,positive
60699,Bem confiável,2017,5,positive
60700,Recomendo ,2017,5,positive
60701,muito rápido,2018,5,positive
60706,cumpre o prazo e o produto chegou corretamente.,2018,5,positive
60711,"Entrega rápida, segura, bem embalado. O produto é bem bonito e de boa qualidade.",2018,5,positive
60712,"Estão dizendo que já foi entregue, mais até o momento não recebi nada, se não resolver ou devolver o dinheiro. Vou ter que ir no PROCON e na polícia.veja com sua transportadora",2017,1,negative
60720,"Produto bom, e de boa qualidade",2017,4,positive
60721,Recomendo,2018,5,positive
60723,Recebi a mercadoria dentro do prazo estipulado e em perfeitas condições. Feita a troca com sucesso.,2017,5,positive
60726,Excelente produto.,2018,5,positive
60728,GOSTEI DA TROCA DE PRODUTO,2018,4,positive
60729,Produto não chegou e não tenho informações de postagem do produto,2017,1,negative
60731,Estoque do parceiro zerado.,2017,2,negative
60732,Recebi antes do prazo,2018,5,positive
60734,Chegou até antes do prazo estabelecido,2018,5,positive
60736,Solicitado a devolução até agora não recebi resposta.,2018,1,negative
60745,O produto veio certinho e antes do prazo ,2018,5,positive
60748,O produto chegou antes do prazo ! Muito satisfeito ,2016,4,positive
60749,Não condiz com o tamanho e foto na descrição.,2018,1,negative
60752,Chegou conforme somente a cor que e diferente de tonalidade um amarelo um pouco mais fechado,2018,4,positive
60753,Entrega antes do prazo panelas são bonitas porém a frigideira veio amassada.,2018,4,positive
60754,"Produto bom, entrega precisa!",2018,4,positive
60759,excelente!!,2018,5,positive
60760,Prazo de entrega ótimo super recomendo,2018,4,positive
60761,"Uma das varas veio faltando o encaixe da linha, porém de resto tudo ok.",2018,4,positive
60763,"Numeração muito pequena, o G parece um P!
Quanto a loja, tudo de bom! ",2017,3,neutral
60764,Tudo dentro do combinado.,2018,4,positive
60773,Pra mim foi legal confesso que tive um pouco de receio por nunca ter feito uma compra on line mas foi tudo ótimo com certeza compraria novamente.,2018,5,positive
60777,"Bom atendimento e chegou dentro do prazo

",2017,4,positive
60778,Material do produto muito inferior do que é exposto no site. Não é o que eu esperava. Sem acabamento também.,2018,3,neutral
60779,A composição do produto não corresponde ao anunciado.,2018,1,negative
60781,"
",2018,5,positive
60782,Adorei o meu produto veio antes do prazo e tdu esta certinho,2017,5,positive
60783,Bom preço e bom prazo,2018,4,positive
60784,otima loja! recomendo,2018,5,positive
60786,"Bom dia.
O produto veio quebrado. 
Quero a troca.",2018,1,negative
60787,Realmente o relógio supera as expectativas. Design lindo e super resistente. Para quem gosta mesmo de relógios é um exemplar maravilhoso.,2017,5,positive
60792,Bom produto,2018,4,positive
60793,e a segunda vez que eu compro nessa loja estou muito sastifeto otima loja,2018,5,positive
60795,Infelizmente não tenho como fazer pois faltou um grande espaço para cobrir na parede.,2017,3,neutral
60796,"
Apesar de de ser entregue antes do previsto, prazo de entrega é muito longo.Enfim, mais por causa dos Correios mesmo que é um lixo. Tirando isso produto em perfeito estado. Recomendo!",2017,3,neutral
60797,Muito bom .recomendo,2018,4,positive
60802,Chegou antes do prazo previsto,2017,5,positive
60803,"Produto de péssima qualidade,não recomendo.",2018,1,negative
60804,Gostei muito do produto. De acordo com a descrição e entrega dentro do prazo.. ,2018,4,positive
60805,muito bom o produto e o atendimento ,2018,5,positive
60809,Produto veio sujo e mal acabado,2017,2,negative
60812,"Não recomendo, atraso na entrega da mercadoria! Se querem evitar for dr cabeça não comprem!",2018,1,negative
60817,MUITO BOM,2017,5,positive
60818,"Rcebi bem embala e be certinha, bom vendedor",2018,5,positive
60820,Excelente!,2018,5,positive
60822,"A capa carteira veio correto,mas a película de vidro veio menor do que o aparelho.",2018,4,positive
60823,"so não dei cinco estrelas porque eu queria comprar uma tigela com tampa e o frete é mais caro que o produto,por isso não recomendo",2017,2,negative
60826,Muito bom produto,2017,5,positive
60827,Prazo de entrega muito longo e ainda não recebi o produto.,2018,1,negative
60832,Os produtos que me mandaram foram replicas do que eu solicitei. Produtos de péssima qualidade!!!,2017,1,negative
60833,Nunca mais...,2017,1,negative
60834,"Não serviu, ficou pequena, solicitei devolução.",2017,3,neutral
60836,"Entrega muito rápido, bem antes do prazo previsto.",2017,5,positive
60839,"
",2018,4,positive
60840,"Estou muito desgostoso, pois comprei vai fazer um mês e ainda não chegou.",2018,1,negative
60841,"INFELIZMENTE PELA 1 VEZ RECEBI UM PRODUTO AVARIADO PELA lannister.COM.
E INFELIZMENTE NÃO CONSEGUIR TROCAR PELA DEMORA DO SITE ...NÃO RECOMENDO ",2017,1,negative
60842,"É ótima para fazer os hambúrgueres, eles ficam perfeitos com ou sem recheio. Prática e fácil de usar, vem com o manual de instrução. O fundo removível ajuda muito na hora de lavar. Amei e uso sempre.",2017,5,positive
60843,"Ótimo vendedor e excelente entrega.
o produto que adquiri é de boa qualidade melhor do que pesei ser.",2017,5,positive
60844,Otima compra,2018,5,positive
60845,"ATENDEU MINHA NECESSIDADE, ELA É BEM ACABADA, COMO TAMBEM SEUS ACÉSSORIOS, BOA A GRELHAS, QUE INCLUSIVE POSSUE PEGADOR, OCUPA POUCO ESPAÇO, FOI UMA DAS BOAS AQUISIÇÃO QUE COMPREI!!!",2017,4,positive
60846,"Ainda não utilizei o produto, mas veio correto, e no prazo de entrega devido.",2017,3,neutral
60847,Recomendo a loja. Tudo correto!,2018,5,positive
60848,"tanto o produto em perfeito estado muito bom, entrega dentro do prazo.",2018,5,positive
60851,Super recomendo,2018,5,positive
60858,bom,2017,1,negative
60859,Tudo conforme combinado!!!!!,2018,5,positive
60861,..,2018,3,neutral
60863,Ótimo,2017,5,positive
60864,A cor dos produtos entregues não conferem com o meu pedido. A cor das mantas pedidas foi a cor tabaco. Mantas entregues na cor cinza,2018,1,negative
60865,"Entregou antes do prazo, apesar de não ter o sabor escolhido, o seller foi atencioso, ligou no dia seguinte, me dando outras opções. Super recomendo, entrega a jato! ",2018,5,positive
60867,"Produto entregue errado, ainda não recebi o que comprei.",2018,3,neutral
60876,Adorei foi entregue antes do prazo !,2018,5,positive
60878,"produto conforme anuncio, aguardar quanto aos resultados",2018,4,positive
60883,"Amei os potes, recebi super rápido, veio bem antes do prazo. Só que um deles veio faltando um pouco de pintura, mas no geral está ótimos",2017,4,positive
60884,"comprei uma bateria 12v xb 1270 e recebi uma xb 12AL, de amperagem menor que a efetivamente comprada.",2018,1,negative
60885,"muito bom produto, material de qualidade",2018,5,positive
60888,muito bom.,2017,5,positive
60893,Bonito mas a qualidade não é mto boa mas para o dia a dia é bom. infelizmente,2017,3,neutral
60894,Boa noite. Solicitei a fronha preta e recebi marrom...,2018,1,negative
60896,"Material que foi feito a bolsa , e muito fraco e de péssima qualidade. ",2018,1,negative
60901,Produto de ótima qualidade e entrega perfeita.,2018,5,positive
60902,Recebi a mercadoria com bastante antecedência. Parabéns a stark e a seus parceiros!!!!,2017,5,positive
60907,essa parceria com outra lojas é uma porcaria até o momento não me deram nem uma sastifaçao ,2018,1,negative
60911,"Se aparecer algum outro produto de interesse nesta loja, certamente farei uma nova compra nela.",2017,5,positive
60917,empresa pontual e seria,2017,5,positive
60918,"Meu pedido foi entregue bem antes do prazo, obrigado, super recomendo.",2018,4,positive
60921,Produto de ótima qualidade chegou bem antes do prazo,2018,5,positive
60930,Adorei o produto ,2018,5,positive
60936,muito bom gostei do atendimento veio bem antes do prazo,2017,2,negative
60938,"Recebi antes do prazo, embalagem perfeita. Recomendo.Produto muito bonito.",2018,4,positive
60939,Um pouco demorada mas tudo bem.,2018,3,neutral
60943,"Adoro stark entrega sempre bem antes do prAzo.
Produtos ótimos",2018,5,positive
60947,Anunciam um produto que não tem em estoque e ainda não cancelaram a compra no meu cartão!,2017,1,negative
60949,"Recebi em tempo hábil , produto superou minhas expectativas... satisfeito ...super recomendo !!
UM ARRASO !!!",2018,5,positive
60953,"Produto muito bom,a loja tbem recomendo a todos que queiram adquirir o produto",2017,5,positive
60954,Ótimo produto. Bem embalado. Entrega antecipada da data marcada o que foi muito bom. Obrigada. Bom Natal.,2017,5,positive
60955,Ainda Não recebi o produto ,2018,2,negative
60957,"O produto é bom, porém não é muito resistente",2017,4,positive
60959,Excelente compra,2017,5,positive
60964,O produto foi entregue. Obrigada,2018,4,positive
60966,e um site sério,2018,5,positive
60968,"MAS ACHO QUE TALVEZ NÃO FOI ENTRGUE NO PRAZO!!! NÃO SEI SE REALMENTE FOI ENTREGUE NO PRAZO...NÃO PRESTEI MUITA ATENÇÃO!!!ENTREGARAM NO DIA 10/07!!
ATT",2017,5,positive
60971,"Gostei muito fabuloso , porém tenho uma dúvida pois a pá de mexer de teflon deu uma enrugada não sei se é normal gostaria de saber",2017,4,positive
60973,O produto é idêntico há descrição,2018,5,positive
60977,"Muito bom a rapidez da intrega . tao de parabéns!!!!
",2017,5,positive
60980,"Cadê o produto? Nenhum tipo de retorno! Comprei dois, me ligaram dizendo que só tinham um, e que me enviariam. Estou até hoje esperando. NADA!",2017,1,negative
60982,"Produto muito bom e de acordo com a figura mostrada.Entrega muito antes da programada.
Gostei de comprar na lannister.",2017,5,positive
60983,"onde posso encontrar o filtro zumax zufer 2222 em mogi das cruzes,,,,, grata",2018,4,positive
60984,Tudo perfeito,2017,5,positive
60987,"Pedi duas unidades do produto, no entanto só recebi uma!",2018,3,neutral
60991,"Chegou antes do prazo, parabéns.",2018,5,positive
60993,Muito bem embalados,2017,5,positive
60994,Uma da cor cáqui e a de Rosas azul. Bom,2017,2,negative
60996,"Recebi meu produto certo e antes da data prevista, bem antes.🌟🌟🌟🌟🌟",2017,5,positive
60997,Não mandaram o produto da marca que comprei,2018,1,negative
60999,Comprei um kit mini berço e o prazo de entrega foi no dia 14/02 sendo que até hoje não foi entregue e a empresa não me deu satisfação alguma ou alguma outra data para entrega. ,2018,1,negative
61000,"Produto Top.
",2017,5,positive
61002,Adorei o teclado. ,2018,5,positive
61009,A empresa foi muito eficiente... entrega rapida.,2017,5,positive
61010,"Ótimo Produto,chegou antes da data prevista ",2018,5,positive
61011,Produto entregue adequadamente acondicionado e no prazo reportado.,2018,5,positive
61014,"Acho que falta atualização no aplicativo quanto ao rastreamento do produto, porque recebi a encomenda ainda no aplicativo se encontrava dizendo, aguardando nota fiscal. ",2018,4,positive
61015,"Blz, chegou no prazo conforme combinado. Satisfeito. Indico a loja",2017,5,positive
61019,Ótimo produto e prazo de entrega ,2018,5,positive
61020,"SÓ OS CORREIOS QUE CONTINUAM A ENGANAR OS CONSUMIDORES, COBRANDO O FRETE E NÃO ENTREGANDO O PRODUTO EM CASA PARA MAIOR COMODIDADE DOS CLIENTES! SEMPRE ALEGA O MESMO ÁREA NA O SEGURA P ENTREGA!",2018,5,positive
